"","tax_yr","zip3","count","b_zip3","count_selfemp_only","b_zip3_selfemp_only"
"10028",2006,772,3081,0.0571243102888673,1990,0.168260038240918
"10029",2007,772,3944,0.058316430020284,2648,0.176515732924021
"10030",2008,772,3606,0.0424292845257903,2350,0.127606338615513
"10031",2009,772,3105,0.0560386473429952,1863,0.171597633136095
"10032",1996,773,35894,0.0142642224327186,44638,0.0647937231080739
"10033",1997,773,36477,0.0141184856210763,46412,0.0646416467930212
"10034",1998,773,37211,0.0170110988686141,50276,0.0792339466766804
"10035",1999,773,38558,0.0189843871570102,30439,0.0868945868945869
"10036",2000,773,40160,0.0210906374501992,31723,0.0956521739130435
"10037",2001,773,41581,0.0230874678338664,32690,0.102993241068555
"10038",2002,773,47073,0.0249399868289678,36282,0.104597291518175
"10039",2003,773,49700,0.0312877263581489,37328,0.121266474303985
"10040",2004,773,52421,0.0295873791037943,38980,0.111206711120671
"10041",2005,773,55863,0.0321679823854788,40759,0.11631067961165
"10042",2006,773,57439,0.032765194380125,41394,0.115986688031554
"10043",2007,773,59820,0.0355566700100301,42768,0.122115053393042
"10044",2008,773,61040,0.0288499344692005,43203,0.0979149291075897
"10045",2009,773,65188,0.035574032030435,46525,0.124677419354839
"10046",1996,774,35904,0.0109458556149733,45045,0.0629706777759974
"10047",1997,774,36115,0.0119340994046795,46404,0.0699334739574882
"10048",1998,774,36391,0.0140419334450826,49817,0.0829410809933452
"10049",1999,774,37570,0.0153579984029811,31212,0.0867408298256164
"10050",2000,774,39119,0.0188399498964697,32135,0.0994467683173661
"10051",2001,774,40267,0.0196687113517272,32881,0.0988270526578488
"10052",2002,774,45189,0.0209121688906592,35657,0.095657455208017
"10053",2003,774,48420,0.0266005782734407,37212,0.111418685121107
"10054",2004,774,51831,0.0278597750381046,39066,0.109843298341701
"10055",2005,774,56320,0.0304154829545455,41528,0.113136516742619
"10056",2006,774,57954,0.0319563791972944,42019,0.114653624713675
"10057",2007,774,60430,0.0338408075459209,43167,0.11809204827626
"10058",2008,774,61285,0.0266623154116015,43848,0.0923059541294769
"10059",2009,774,64539,0.0349246192224856,46570,0.126643443083493
"10060",1996,775,64376,0.0106716788865416,81745,0.0730462519936204
"10061",1997,775,65741,0.0124884014541914,83092,0.0842137655144117
"10062",1998,775,65525,0.0127737504769172,87245,0.0851908396946565
"10063",1999,775,66886,0.0151451723828604,56764,0.0977799227799228
"10064",2000,775,67050,0.0176435495898583,56805,0.108402822322001
"10065",2001,775,67937,0.0194003267733341,57134,0.11500872600349
"10066",2002,775,74104,0.0235209975170031,60725,0.12755214050494
"10067",2003,775,76887,0.0287304745925839,61370,0.141930095091236
"10068",2004,775,79275,0.0288867865026805,62733,0.135262847017129
"10069",2005,775,80667,0.0314378866203032,62483,0.139986752042393
"10070",2006,775,78787,0.0340157640219833,60186,0.146136648672229
"10071",2007,775,78712,0.0367161296879764,60258,0.15469435820576
"10072",2008,775,78246,0.0291260895125629,59876,0.120016851861604
"10073",2009,775,83814,0.0391223423294438,63154,0.160774699681294
"10074",1996,776,20973,0.0107757593095885,25223,0.068195534097767
"10075",1997,776,20865,0.0128444763958783,25783,0.0815085158150852
"10076",1998,776,20581,0.014479374180069,26621,0.0969420949902407
"10077",1999,776,20981,0.0171107192221534,17716,0.108557605080133
"10078",2000,776,20547,0.0177154815788193,17668,0.112519319938176
"10079",2001,776,20658,0.0207183657662891,17603,0.129972669298512
"10080",2002,776,22361,0.0249988819820223,18614,0.143923789907312
"10081",2003,776,22656,0.0256885593220339,18576,0.135822637106184
"10082",2004,776,22789,0.0303655272280486,18298,0.153470836105567
"10083",2005,776,21861,0.0293216229815653,17432,0.138504753673293
"10084",2006,776,21526,0.0298708538511567,16896,0.13813104189044
"10085",2007,776,21065,0.0316638974602421,16614,0.146561195341683
"10086",2008,776,20348,0.0245232946726951,16180,0.114109307111823
"10087",2009,776,21736,0.028018034596982,17002,0.12960204298787
"10088",1996,777,12342,0.00664397990601199,14021,0.0734767025089606
"10089",1997,777,12251,0.0080809729817974,14010,0.087688219663419
"10090",1998,777,12324,0.00876338851022395,14453,0.0982711555959964
